,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,JAMES_STREET_EAST,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,CHATHAM_STREET,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE
01:22:08,5,0,1,30,40,35,28,16,20,14,36,14,24,30,14,0,30,24,0,0,23,7,3,30,30,2,1,0,18,2,1,28,0,4,0,18,20,0,1,0,0,10,0,8,23,26,24,4,0,17,0,0,33,30,0,10,0,1,0,0,4,21,1,9,1,37,0,9,40,15,29,1,10,2,5,29,4,2,14,27,30,22,15,17,40,36,25,17,39,1,17,24,21,36,22,0,23,3,8,0,0
01:24:09,5,0,1,30,40,35,28,16,20,14,36,14,24,30,14,0,30,24,0,0,23,7,3,30,30,2,1,0,18,2,1,28,0,4,0,18,20,0,1,0,0,10,0,8,23,26,24,4,0,17,0,0,33,30,0,10,0,1,0,0,4,21,1,9,1,37,0,9,40,15,29,1,10,2,5,29,4,2,14,27,30,22,15,17,40,36,25,17,39,1,17,24,21,36,22,0,23,3,8,0,0
01:26:09,5,0,1,30,40,35,28,16,20,14,36,14,24,30,14,0,30,24,0,0,23,7,3,30,30,2,1,0,18,2,1,28,0,4,0,18,20,0,1,0,0,10,0,8,23,26,24,4,0,17,0,0,33,30,0,10,0,1,0,0,4,21,1,9,1,37,0,9,40,15,29,1,10,2,5,29,4,2,14,27,30,22,15,17,40,36,25,17,39,1,17,24,21,36,22,0,23,3,8,0,0
01:28:08,5,0,1,30,40,35,28,16,20,14,36,14,24,30,14,0,30,24,0,0,23,7,3,30,30,2,1,0,18,2,1,28,0,4,0,18,20,0,1,0,0,10,0,8,23,26,24,4,0,17,0,0,33,30,0,10,0,1,0,0,4,21,1,9,1,37,0,9,40,15,29,1,10,2,5,29,4,2,14,27,30,22,15,17,40,36,25,17,39,1,17,24,21,36,22,0,23,3,8,0,0
01:30:09,5,0,1,30,40,35,28,16,20,14,36,14,24,30,14,0,30,24,0,0,23,7,3,30,30,2,1,0,18,2,1,28,0,4,0,18,20,0,1,0,0,10,0,8,23,26,24,4,0,17,0,0,33,30,0,10,0,1,0,0,4,21,1,9,1,37,0,9,40,15,29,1,10,2,5,29,4,2,14,27,30,22,15,17,40,36,25,17,39,1,17,24,21,36,22,0,23,3,8,0,0
01:32:09,5,0,1,30,40,35,28,16,20,14,36,14,24,30,14,0,30,24,0,0,23,7,3,30,30,2,1,0,18,2,1,28,0,4,0,18,20,0,1,0,0,10,0,8,23,26,24,4,0,17,0,0,33,30,0,10,0,1,0,0,4,21,1,9,1,37,0,9,40,15,29,1,10,2,5,29,4,2,14,27,30,22,15,17,40,36,25,17,39,1,17,24,21,36,22,0,23,3,8,0,0
01:34:09,5,0,1,30,40,35,28,16,20,14,36,14,24,30,14,0,30,24,0,0,23,7,3,30,30,2,1,0,18,2,1,28,0,4,0,18,20,0,1,0,0,10,0,8,23,26,24,4,0,17,0,0,33,30,0,10,0,1,0,0,4,21,1,9,1,37,0,9,40,15,29,1,10,2,5,29,4,2,14,27,30,22,15,17,40,36,25,17,39,1,17,24,21,36,22,0,23,3,8,0,0
01:36:08,5,0,1,30,40,35,28,16,20,14,36,14,24,30,14,0,30,24,0,0,23,7,3,30,30,2,1,0,18,2,1,28,0,4,0,18,20,0,1,0,0,10,0,8,23,26,24,4,0,17,0,0,33,30,0,10,0,1,0,0,4,21,1,9,1,37,0,9,40,15,29,1,10,2,5,29,4,2,14,27,30,22,15,17,40,36,25,17,39,1,17,24,21,36,22,0,23,3,8,0,0
01:38:08,5,0,1,30,40,35,28,16,20,14,36,14,24,30,14,0,30,24,0,0,23,7,3,30,30,2,1,0,18,2,1,28,0,4,0,18,20,0,1,0,0,10,0,8,23,26,24,4,0,17,0,0,33,30,0,10,0,1,0,0,4,21,1,9,1,37,0,9,40,15,29,1,10,2,5,29,4,2,14,27,30,22,15,17,40,36,25,17,39,1,17,24,21,36,22,0,23,3,8,0,0
01:40:09,5,0,1,30,40,35,28,16,20,14,36,14,24,30,14,0,30,24,0,0,23,7,3,30,30,2,1,0,18,2,1,28,0,4,0,18,20,0,1,0,0,10,0,8,23,26,24,4,0,17,0,0,33,30,0,10,0,1,0,0,4,21,1,9,1,37,0,9,40,15,29,1,10,2,5,29,4,2,14,27,30,22,15,17,40,36,25,17,39,1,17,24,21,36,22,0,23,3,8,0,0
01:42:09,5,0,1,30,40,35,28,16,20,14,36,14,24,30,14,0,30,24,0,0,23,7,3,30,30,2,1,0,18,2,1,28,0,4,0,18,20,0,1,0,0,10,0,8,23,26,24,4,0,17,0,0,33,30,0,10,0,1,0,0,4,21,1,9,1,37,0,9,40,15,29,1,10,2,5,29,4,2,14,27,30,22,15,17,40,36,25,17,39,1,17,24,21,36,22,0,23,3,8,0,0
01:44:08,5,0,1,30,40,35,28,16,20,14,36,14,24,30,14,0,30,24,0,0,23,7,3,30,30,2,1,0,18,2,1,28,0,4,0,18,20,0,1,0,0,10,0,8,23,26,24,4,0,17,0,0,33,30,0,10,0,1,0,0,4,21,1,9,1,37,0,9,40,15,29,1,10,2,5,29,4,2,14,27,30,22,15,17,40,36,25,17,39,1,17,24,21,36,22,0,23,3,8,0,0
01:46:09,5,0,1,30,40,35,28,16,20,14,36,14,24,30,14,0,30,24,0,0,23,7,3,30,30,2,1,0,18,2,1,28,0,4,0,18,20,0,1,0,0,10,0,8,23,26,24,4,0,17,0,0,33,30,0,10,0,1,0,0,4,21,1,9,1,37,0,9,40,15,29,1,10,2,5,29,4,2,14,27,30,22,15,17,40,36,25,17,39,1,17,24,21,36,22,0,23,3,8,0,0
