,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,JAMES_STREET_EAST,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,CHATHAM_STREET,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE
01:48:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
01:50:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
01:52:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
01:54:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
01:56:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
01:58:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
02:00:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
02:02:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
02:04:08,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
02:06:08,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
02:08:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
02:10:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
02:12:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
02:14:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
02:16:08,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
02:18:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
02:20:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
02:22:08,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
02:24:08,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
02:26:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
02:28:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
02:30:08,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
02:32:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
02:34:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
02:36:08,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
02:38:08,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
02:40:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
02:42:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
02:44:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
02:46:08,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
02:48:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
02:50:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
02:52:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
02:54:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
02:56:08,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
02:58:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
03:00:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
03:02:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
03:04:08,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
03:06:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
03:08:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
03:10:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
03:12:08,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
03:14:08,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
03:16:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
03:18:08,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
03:20:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
03:22:08,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
03:24:08,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
03:26:08,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
03:28:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
03:30:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
03:32:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
03:34:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
03:36:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
03:38:08,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
03:40:08,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
03:42:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
03:44:09,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
03:46:08,23,22,2,13,29,21,13,19,13,35,2,3,2,24,3,16,9,23,23,20,1,18,3,17,21,14,3,19,28,10,1,11,5,10,8,10,15,23,15,4,32,1,11,2,32,19,0,9,1,5,1,14,21,27,35,9,25,6,21,1,22,24,27,2,6,5,23,9,5,9,6,3,3,22,1,40,12,39,2,13,17,35,3,20,14,13,28,8,18,25,23,29,0,14,9,1,21,8,2,3,10
