,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,JAMES_STREET_EAST,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,CHATHAM_STREET,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE
00:42:09,8,10,3,9,28,13,6,17,7,18,3,1,1,15,3,0,4,23,8,16,21,17,7,5,26,17,15,25,33,13,1,26,15,18,18,6,13,21,10,18,8,15,28,2,3,16,13,2,9,10,15,8,40,30,38,22,33,16,30,8,22,8,39,0,26,17,23,18,21,7,11,0,1,9,29,25,19,11,8,5,8,9,0,9,3,4,11,15,25,11,24,30,13,22,1,19,22,5,0,5,12
00:44:08,8,10,3,9,28,13,6,17,7,18,3,1,1,15,3,0,4,23,8,16,21,17,7,5,26,17,15,25,33,13,1,26,15,18,18,6,13,21,10,18,8,15,28,2,3,16,13,2,9,10,15,8,40,30,38,22,33,16,30,8,22,8,39,0,26,17,23,18,21,7,11,0,1,9,29,25,19,11,8,5,8,9,0,9,3,4,11,15,25,11,24,30,13,22,1,19,22,5,0,5,12
00:46:09,8,10,3,9,28,13,6,17,7,18,3,1,1,15,3,0,4,23,8,16,21,17,7,5,26,17,15,25,33,13,1,26,15,18,18,6,13,21,10,18,8,15,28,2,3,16,13,2,9,10,15,8,40,30,38,22,33,16,30,8,22,8,39,0,26,17,23,18,21,7,11,0,1,9,29,25,19,11,8,5,8,9,0,9,3,4,11,15,25,11,24,30,13,22,1,19,22,5,0,5,12
00:48:09,8,10,3,9,28,13,6,17,7,18,3,1,1,15,3,0,4,23,8,16,21,17,7,5,26,17,15,25,33,13,1,26,15,18,18,6,13,21,10,18,8,15,28,2,3,16,13,2,9,10,15,8,40,30,38,22,33,16,30,8,22,8,39,0,26,17,23,18,21,7,11,0,1,9,29,25,19,11,8,5,8,9,0,9,3,4,11,15,25,11,24,30,13,22,1,19,22,5,0,5,12
00:50:08,8,10,3,9,28,13,6,17,7,18,3,1,1,15,3,0,4,23,8,16,21,17,7,5,26,17,15,25,33,13,1,26,15,18,18,6,13,21,10,18,8,15,28,2,3,16,13,2,9,10,15,8,40,30,38,22,33,16,30,8,22,8,39,0,26,17,23,18,21,7,11,0,1,9,29,25,19,11,8,5,8,9,0,9,3,4,11,15,25,11,24,30,13,22,1,19,22,5,0,5,12
00:52:09,8,10,3,9,28,13,6,17,7,18,3,1,1,15,3,0,4,23,8,16,21,17,7,5,26,17,15,25,33,13,1,26,15,18,18,6,14,21,10,18,8,15,28,2,3,16,13,2,9,10,15,8,40,30,38,22,33,16,30,8,22,8,39,0,26,17,23,18,21,7,11,0,1,9,29,25,19,11,8,5,8,9,0,9,3,4,11,15,25,11,24,30,13,22,1,19,22,5,0,5,13
00:54:09,8,10,3,9,28,13,6,17,7,18,3,1,1,15,3,0,4,23,8,16,21,17,7,5,26,17,15,25,33,13,1,26,15,18,18,6,14,21,10,18,8,15,28,2,3,16,13,2,9,10,15,8,40,30,38,22,33,16,30,8,22,8,39,0,26,17,23,18,21,7,11,0,1,9,29,25,19,11,8,5,8,9,0,9,3,4,11,15,25,11,24,30,13,22,1,19,22,5,0,5,13
00:56:08,8,10,3,9,28,13,6,17,7,18,3,1,1,15,3,0,4,23,8,16,21,17,7,5,26,17,15,25,33,13,1,26,15,18,18,6,14,21,10,18,8,15,28,2,3,16,13,2,9,10,15,8,40,30,38,22,33,16,30,8,22,8,39,0,26,17,23,18,21,7,11,0,1,9,29,25,19,11,8,5,8,9,0,9,3,4,11,15,25,11,24,30,13,22,1,19,22,5,0,5,13
00:58:09,8,10,3,9,28,13,6,17,7,18,3,1,1,15,3,0,4,23,8,16,21,17,7,5,26,17,15,25,33,13,1,26,15,18,18,6,14,21,10,18,8,15,28,2,3,16,13,2,9,10,15,8,40,30,38,22,33,16,30,8,22,8,39,0,26,17,23,18,21,7,11,0,1,9,29,25,19,11,8,5,8,9,0,9,3,4,11,15,25,11,24,30,13,22,1,19,22,5,0,5,13
01:00:17,8,10,3,9,28,13,6,17,7,18,3,1,1,15,3,0,4,23,8,16,21,17,7,5,26,17,15,25,33,13,1,26,15,18,18,6,14,21,10,18,8,15,28,2,3,16,13,2,9,10,15,8,40,30,38,22,33,16,30,8,22,8,39,0,26,17,23,18,21,7,11,0,1,9,29,25,19,11,8,5,8,9,0,9,3,4,11,15,25,11,24,30,13,22,1,19,22,5,0,5,13
01:02:09,8,10,3,9,28,13,6,17,7,18,3,1,1,15,3,0,4,23,8,16,21,17,7,5,26,17,15,25,33,13,1,26,15,18,18,6,14,21,10,18,8,15,28,2,3,16,13,2,9,10,15,8,40,30,38,22,33,16,30,8,22,8,39,0,26,17,23,18,21,7,11,0,1,9,29,25,19,11,8,5,8,9,0,9,3,4,11,15,25,11,24,30,13,22,1,19,22,5,0,5,13
01:04:08,8,10,3,9,28,13,6,17,7,18,3,1,1,15,3,0,4,23,8,16,21,17,7,5,26,17,15,25,33,13,1,26,15,18,18,6,14,21,10,18,8,15,28,2,3,16,13,2,9,10,15,8,40,30,38,22,33,16,30,8,22,8,39,0,26,17,23,18,21,7,11,0,1,9,29,25,19,11,8,5,8,9,0,9,3,4,11,15,25,11,24,30,13,22,1,19,22,5,0,5,13
01:06:08,8,10,3,9,28,13,6,17,7,18,3,1,1,15,3,0,4,23,8,16,21,17,7,5,26,17,15,25,33,13,1,26,15,18,18,6,14,21,10,18,8,15,28,2,3,16,13,2,9,10,15,8,40,30,38,22,33,16,30,8,22,8,39,0,26,17,23,18,21,7,11,0,1,9,29,25,19,11,8,5,8,9,0,9,3,4,11,15,25,11,24,30,13,22,1,19,22,5,0,5,13
01:08:09,8,10,3,9,28,13,6,17,7,18,3,1,1,15,3,0,4,23,8,16,21,17,7,5,26,17,15,25,33,13,1,26,15,18,18,6,14,21,10,18,8,15,28,2,3,16,13,2,9,10,15,8,40,30,38,22,33,16,30,8,22,8,39,0,26,17,23,18,21,7,11,0,1,9,29,25,19,11,8,5,8,9,0,9,3,4,11,15,25,11,24,30,13,22,1,19,22,5,0,5,13
01:10:09,8,10,3,9,28,13,6,17,7,18,3,1,1,15,3,0,4,23,8,16,21,17,7,5,26,17,15,25,33,13,1,26,15,18,18,6,14,21,10,18,8,15,28,2,3,16,13,2,9,10,15,8,40,30,38,22,33,16,30,8,22,8,39,0,26,17,23,18,21,7,11,0,1,9,29,25,19,11,8,5,8,9,0,9,3,4,11,15,25,11,24,30,13,22,1,19,22,5,0,5,13
01:12:09,8,10,3,9,28,13,6,17,7,18,3,1,1,15,3,0,4,23,8,16,21,17,7,5,26,17,15,25,33,13,1,26,15,18,18,6,14,21,10,18,8,15,28,2,3,16,13,2,9,10,15,8,40,30,38,22,33,16,30,8,22,8,39,0,26,17,23,18,21,7,11,0,1,9,29,25,19,11,8,5,8,9,0,9,3,4,11,15,25,11,24,30,13,22,1,19,22,5,0,5,13
01:14:09,8,10,3,9,28,13,6,17,7,18,3,1,1,15,3,0,4,23,8,16,21,17,7,5,26,17,15,25,33,13,1,26,15,18,18,6,14,21,10,18,8,15,28,2,3,16,13,2,9,10,15,8,40,30,38,22,33,16,30,8,22,8,39,0,26,17,23,18,21,7,11,0,1,9,29,25,19,11,8,5,8,9,0,9,3,4,11,15,25,11,24,30,13,22,1,19,22,5,0,5,13
01:16:09,8,10,3,9,28,13,6,17,7,18,3,1,1,15,3,0,4,23,8,16,21,17,7,5,26,17,15,25,33,13,1,26,15,18,18,6,14,21,10,18,8,15,28,2,3,16,13,2,9,10,15,8,40,30,38,22,33,16,30,8,22,8,39,0,26,17,23,18,21,7,11,0,1,9,29,25,19,11,8,5,8,9,0,9,3,4,11,15,25,11,24,30,13,22,1,19,22,5,0,5,13
01:18:09,8,10,3,9,28,13,6,17,7,18,3,1,1,15,3,0,4,23,8,16,21,17,7,5,26,17,15,25,33,13,1,26,15,18,18,6,14,21,10,18,8,15,28,2,3,16,13,2,9,10,15,8,40,30,38,22,33,16,30,8,22,8,39,0,26,17,23,18,21,7,11,0,1,9,29,25,19,11,8,5,8,9,0,9,3,4,11,15,25,11,24,30,13,22,1,19,22,5,0,5,13
01:20:08,8,10,3,9,28,13,6,17,7,18,3,1,1,15,3,0,4,23,8,16,21,17,7,5,26,17,15,25,33,13,1,26,15,18,18,6,14,21,10,18,8,15,28,2,3,16,13,2,9,10,15,8,40,30,38,22,33,16,30,8,22,8,39,0,26,17,23,18,21,7,11,0,1,9,29,25,19,11,8,5,8,9,0,9,3,4,11,15,25,11,24,30,13,22,1,19,22,5,0,5,13
01:22:09,8,10,3,9,28,13,6,17,7,18,3,1,1,15,3,0,4,23,8,16,21,17,7,5,26,17,15,25,33,13,1,26,15,18,18,6,14,21,10,18,8,15,28,2,3,16,13,2,9,10,15,8,40,30,38,22,33,16,30,8,22,8,39,0,26,17,23,18,21,7,11,0,1,9,29,25,19,11,8,5,8,9,0,9,3,4,11,15,25,11,24,30,13,22,1,19,22,5,0,5,13
01:24:09,8,10,3,9,28,13,6,17,7,18,3,1,1,15,3,0,4,23,8,16,21,17,7,5,26,17,15,25,33,13,1,26,15,18,18,6,14,21,10,18,8,15,28,2,3,16,13,2,9,10,15,8,40,30,38,22,33,16,30,8,22,8,39,0,26,17,23,18,21,7,11,0,1,9,29,25,19,11,8,5,8,9,0,9,3,4,11,15,25,11,24,30,13,22,1,19,22,5,0,5,13
01:26:08,8,10,3,9,28,13,6,17,7,18,3,1,1,15,3,0,4,23,8,16,21,17,7,5,26,17,15,25,33,13,1,26,15,18,18,6,14,21,10,18,8,15,28,2,3,16,13,2,9,10,15,8,40,30,38,22,33,16,30,8,22,8,39,0,26,17,23,18,21,7,11,0,1,9,29,25,19,11,8,5,8,9,0,9,3,4,11,15,25,11,24,30,13,22,1,19,22,5,0,5,13
01:28:08,8,10,3,9,28,13,6,17,7,18,3,1,1,15,3,0,4,23,8,16,21,17,7,5,26,17,15,25,33,13,1,26,15,18,18,6,14,21,10,18,8,15,28,2,3,16,13,2,9,10,15,8,40,30,38,22,33,16,30,8,22,8,39,0,26,17,23,18,21,7,11,0,1,9,29,25,19,11,8,5,8,9,0,9,3,4,11,15,25,11,24,30,13,22,1,19,22,5,0,5,13
01:30:08,8,10,3,9,28,13,6,17,7,18,3,1,1,15,3,0,4,23,8,16,21,17,7,5,26,17,15,25,33,13,1,26,15,18,18,6,14,21,10,18,8,15,28,2,3,16,13,2,9,10,15,8,40,30,38,22,33,16,30,8,22,8,39,0,26,17,23,18,21,7,11,0,1,9,29,25,19,11,8,5,8,9,0,9,3,4,11,15,25,11,24,30,13,22,1,19,22,5,0,5,13
01:32:09,8,10,3,9,28,13,6,17,7,18,3,1,1,15,3,0,4,23,8,16,21,17,7,5,26,17,15,25,33,13,1,26,15,18,18,6,14,21,10,18,8,15,28,2,3,16,13,2,9,10,15,8,40,30,38,22,33,16,30,8,22,8,39,0,26,17,23,18,21,7,11,0,1,9,29,25,19,11,8,5,8,9,0,9,3,4,11,15,25,11,24,30,13,22,1,19,22,5,0,5,13
01:34:09,8,10,3,9,28,13,6,17,7,18,3,1,1,15,3,0,4,23,8,16,21,17,7,5,26,17,15,25,33,13,1,26,15,18,18,6,14,21,10,18,8,15,28,2,3,16,13,2,9,10,15,8,40,30,38,22,33,16,30,8,22,8,39,0,26,17,23,18,21,7,11,0,1,9,29,25,19,11,8,5,8,9,0,9,3,4,11,15,25,11,24,30,13,22,1,19,22,5,0,5,13
01:36:09,8,10,3,9,28,13,6,17,7,18,3,1,1,15,3,0,4,23,8,16,21,17,7,5,26,17,15,25,33,13,1,26,15,18,18,6,14,21,10,18,8,15,28,2,3,16,13,2,9,10,15,8,40,30,38,22,33,16,30,8,22,8,39,0,26,17,23,18,21,7,11,0,1,9,29,25,19,11,8,5,8,9,0,9,3,4,11,15,25,11,24,30,13,22,1,19,22,5,0,5,13
01:38:08,8,10,3,9,28,13,6,17,7,18,3,1,1,15,3,0,4,23,8,16,21,17,7,5,26,17,15,25,33,13,1,26,15,18,18,6,14,21,10,18,8,15,28,2,3,16,13,2,9,10,15,8,40,30,38,22,33,16,30,8,22,8,39,0,26,17,23,18,21,7,11,0,1,9,29,25,19,11,8,5,8,9,0,9,3,4,11,15,25,11,24,30,13,22,1,19,22,5,0,5,13
01:40:08,8,10,3,9,28,13,6,17,7,18,3,1,1,15,3,0,4,23,8,16,21,17,7,5,26,17,15,25,33,13,1,26,15,18,18,6,14,21,10,18,8,15,28,2,3,16,13,2,9,10,15,8,40,30,38,22,33,16,30,8,22,8,39,0,26,17,23,18,21,7,11,0,1,9,29,25,19,11,8,5,8,9,0,9,3,4,11,15,25,11,24,30,13,22,1,19,22,5,0,5,13
01:42:09,8,10,3,9,28,13,6,17,7,18,3,1,1,15,3,0,4,23,8,16,21,17,7,5,26,17,15,25,33,13,1,26,15,18,18,6,14,21,10,18,8,15,28,2,3,16,13,2,9,10,15,8,40,30,38,22,33,16,30,8,22,8,39,0,26,17,23,18,21,7,11,0,1,9,29,25,19,11,8,5,8,9,0,9,3,4,11,15,25,11,24,30,13,22,1,19,22,5,0,5,13
01:44:09,8,10,3,9,28,13,6,17,7,18,3,1,1,15,3,0,4,23,8,16,21,17,7,5,26,17,15,25,33,13,1,26,15,18,18,6,14,21,10,18,8,15,28,2,3,16,13,2,9,10,15,8,40,30,38,22,33,16,30,8,22,8,39,0,26,17,23,18,21,7,11,0,1,9,29,25,19,11,8,5,8,9,0,9,3,4,11,15,25,11,24,30,13,22,1,19,22,5,0,5,13
01:46:09,8,10,3,9,28,13,6,17,7,18,3,1,1,15,3,0,4,23,8,16,21,17,7,5,26,17,15,25,33,13,1,26,15,18,18,6,14,21,10,18,8,15,28,2,3,16,13,2,9,10,15,8,40,30,38,22,33,16,30,8,22,8,39,0,26,17,23,18,21,7,11,0,1,9,29,25,19,11,8,5,8,9,0,9,3,4,11,15,25,11,24,30,13,22,1,19,22,5,0,5,13
