,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,JAMES_STREET_EAST,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE,CLARENDON_ROW
00:20:09,1,0,5,30,36,28,30,17,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
00:22:09,1,0,5,30,36,28,30,17,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
00:24:08,1,0,5,30,36,28,30,17,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
00:26:09,1,0,5,30,36,28,30,17,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
00:28:09,1,0,5,30,36,28,30,17,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
00:30:08,1,0,5,30,36,28,30,17,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
00:32:09,1,0,5,30,36,28,30,17,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
00:34:09,1,0,5,30,36,28,30,17,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
00:36:09,1,0,5,30,36,28,30,17,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
00:38:09,1,0,5,30,36,28,30,17,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
00:40:09,1,0,5,30,36,28,30,17,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
00:42:09,1,0,5,30,36,28,30,17,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
00:44:09,1,0,5,30,36,28,30,17,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
00:46:09,1,0,5,30,36,28,30,17,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
00:48:09,1,0,5,30,36,28,30,17,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
00:50:08,1,0,5,30,36,28,30,17,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
00:52:09,1,0,5,30,36,28,30,17,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
00:54:09,1,0,5,30,36,28,30,17,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
00:56:09,1,0,5,30,36,28,30,17,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
00:58:08,1,0,5,30,36,28,30,17,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
01:00:16,1,0,5,30,36,28,30,17,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
01:02:08,1,0,5,30,36,28,30,17,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
01:04:09,1,0,5,30,36,28,30,17,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
01:06:09,1,0,5,30,36,28,30,17,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
01:08:08,1,0,5,30,36,28,30,17,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
01:10:09,1,0,5,30,36,28,30,17,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
01:12:09,1,0,5,30,36,28,30,18,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
01:14:09,1,0,5,30,36,28,30,18,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
01:16:08,1,0,5,30,36,28,30,18,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
01:18:09,1,0,5,30,36,28,30,18,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
01:20:09,1,0,5,30,36,28,30,18,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
01:22:09,1,0,5,30,36,28,30,18,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
01:24:09,1,0,5,30,36,28,30,18,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
01:26:09,1,0,5,30,36,28,30,18,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
01:28:09,1,0,5,30,36,28,30,18,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
01:30:09,1,0,5,30,36,28,30,18,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
01:32:09,1,0,5,30,36,28,30,18,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
01:34:08,1,0,5,30,36,28,30,18,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
01:36:08,1,0,5,30,36,28,30,18,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
01:38:09,1,0,5,30,36,28,30,18,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
01:40:09,1,0,5,30,36,28,30,18,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
01:42:08,1,0,5,30,36,28,30,18,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
01:44:08,1,0,5,30,36,28,30,18,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,16,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
01:46:09,1,0,5,30,36,28,30,18,11,29,36,0,25,27,27,1,30,15,0,0,25,4,0,29,30,0,0,1,13,2,3,30,0,8,5,20,18,1,0,0,0,11,0,0,11,40,19,1,0,1,1,2,40,30,1,0,2,4,0,0,4,14,0,4,1,18,1,13,40,33,28,0,2,3,16,27,0,1,20,18,30,21,27,17,40,38,30,39,40,3,0,30,34,39,20,17,4,12,0,3,0
