,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE,CLARENDON_ROW
00:20:09,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,13,24,27,0,12,25,14,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,27,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,3,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
00:22:08,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,13,24,27,0,12,25,14,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,27,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,3,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
00:24:09,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,14,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,27,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,3,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
00:26:09,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,14,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,27,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,3,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
00:28:09,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,14,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,27,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,3,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
00:30:08,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,14,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,27,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,3,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
00:32:08,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,14,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,3,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
00:34:09,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,14,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,3,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
00:36:09,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,14,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,3,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
00:38:09,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,14,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,3,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
00:40:09,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,14,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,3,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
00:42:08,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,15,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,3,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
00:44:08,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,15,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,3,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
00:46:09,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,15,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,3,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
00:48:09,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,15,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,3,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
00:50:08,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,15,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,3,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
00:52:09,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,15,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,3,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
00:54:09,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,15,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,3,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
00:56:08,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,15,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,3,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
00:58:09,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,15,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,3,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
01:00:17,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,15,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,3,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
01:02:09,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,15,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,3,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
01:04:08,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,15,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,3,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
01:06:09,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,15,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,3,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
01:08:09,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,15,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,3,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
01:10:09,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,15,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,3,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
01:12:09,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,15,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,3,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
01:14:09,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,15,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,3,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
01:16:08,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,15,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,3,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
01:18:09,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,15,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,3,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
01:20:09,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,15,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,4,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
01:22:08,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,15,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,4,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
01:24:09,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,15,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,4,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
01:26:09,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,15,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,4,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
01:28:09,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,15,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,4,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
01:30:09,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,15,13,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,4,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
01:32:09,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,15,14,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,4,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
01:34:09,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,15,14,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,4,1,5,30,5,13,17,4,22,8,14,40,9,30,3,0,3,20,20
01:36:08,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,15,14,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,4,1,5,30,5,13,17,4,22,8,14,40,10,30,3,0,3,20,20
01:38:09,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,15,14,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,4,1,5,30,5,13,17,4,22,8,14,40,10,30,3,0,3,20,20
01:40:08,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,15,14,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,4,1,5,30,5,13,17,4,22,8,14,40,10,30,3,0,3,20,20
01:42:08,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,15,14,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,4,1,5,30,5,13,17,4,22,8,14,40,10,30,3,0,3,20,20
01:44:09,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,15,14,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,4,1,5,30,5,13,17,4,22,8,14,40,10,30,3,0,3,20,20
01:46:09,2,1,5,9,26,19,26,17,11,12,20,17,16,17,0,0,18,21,24,5,8,24,14,24,27,0,12,25,15,14,1,29,2,10,9,17,33,8,27,3,5,16,0,7,39,10,15,8,15,13,20,40,23,22,19,32,12,1,6,9,28,40,3,24,7,17,5,9,2,13,5,11,8,9,20,12,4,7,11,14,24,4,1,5,30,5,13,17,4,22,8,14,40,10,30,3,0,3,20,20
