,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,JAMES_STREET_EAST,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE,CLARENDON_ROW
00:00:08,1,2,0,30,39,35,29,13,16,16,26,8,21,20,19,1,29,28,6,1,7,0,0,30,30,0,0,15,30,2,8,28,0,3,7,20,19,3,0,5,9,6,0,0,4,23,0,0,0,16,0,2,40,27,4,0,0,3,8,1,6,11,12,17,0,40,0,10,40,27,21,0,0,3,23,15,1,5,11,24,30,16,15,20,34,38,30,34,27,0,0,30,13,36,22,30,2,10,3,0,6
00:02:08,1,2,0,30,39,35,29,13,16,16,26,8,21,20,19,1,29,28,6,1,7,0,0,30,30,0,0,15,30,2,8,28,0,3,7,20,19,3,0,5,9,6,0,0,4,23,0,0,0,16,0,2,40,27,4,0,0,3,8,1,6,11,12,17,0,40,0,10,40,27,21,0,0,3,23,15,1,5,11,24,30,16,15,20,34,38,30,34,27,0,0,30,13,36,22,30,2,10,3,0,6
00:04:08,1,2,0,30,39,35,29,13,16,16,26,8,21,20,19,1,29,28,6,1,7,0,0,30,30,0,0,15,30,2,8,28,0,3,7,20,19,3,0,5,9,6,0,0,4,23,0,0,0,16,0,2,40,27,4,0,0,3,8,1,6,11,12,17,0,40,0,10,40,27,21,0,0,3,23,15,1,5,11,24,30,16,15,20,34,38,30,34,27,0,0,30,13,36,22,30,2,10,3,0,6
00:06:09,1,2,0,30,39,35,29,13,16,16,26,8,21,20,19,1,29,28,6,1,7,0,0,30,30,0,0,15,30,2,8,28,0,3,7,20,19,3,0,5,9,6,0,0,4,23,0,0,0,16,0,2,40,27,4,0,0,3,8,1,6,11,12,17,0,40,0,10,40,27,21,0,0,3,23,15,1,5,11,24,30,16,15,20,34,38,30,34,27,0,0,30,13,36,22,30,2,10,3,0,6
00:08:09,1,2,0,30,39,35,29,13,16,16,26,8,21,20,19,1,29,28,6,1,7,0,0,30,30,0,0,15,30,2,8,28,0,3,7,20,19,3,0,5,9,6,0,0,4,23,0,0,0,16,0,2,40,27,4,0,0,3,8,1,6,11,12,17,0,40,0,10,40,27,21,0,0,3,23,15,1,5,11,24,30,16,15,20,34,38,30,34,27,0,0,30,13,36,22,30,2,10,3,0,6
00:10:09,1,2,0,30,39,35,29,13,16,16,26,8,21,20,19,1,29,28,6,1,7,0,0,30,30,0,0,15,30,2,8,28,0,3,7,20,19,3,0,5,9,6,0,0,4,23,0,0,0,16,0,2,40,27,4,0,0,3,8,1,6,11,12,17,0,40,0,10,40,27,21,0,0,3,23,15,1,5,11,24,30,16,15,20,34,38,30,34,27,0,0,30,13,36,22,30,2,10,3,0,6
00:12:09,1,2,0,30,39,35,29,13,16,16,26,8,21,20,19,1,29,28,6,1,7,0,0,30,30,0,0,15,30,2,8,28,0,3,7,20,19,3,0,5,9,6,0,0,4,23,0,0,0,16,0,2,40,27,4,0,0,3,8,1,6,11,12,17,0,40,0,10,40,27,21,0,0,3,23,15,1,5,11,24,30,16,15,20,34,38,30,34,27,0,0,30,13,36,22,30,2,10,3,0,6
00:14:08,1,2,0,30,39,35,29,13,16,16,26,8,21,20,19,1,29,28,6,1,7,0,0,30,30,0,0,15,30,2,8,28,0,3,7,20,19,3,0,5,9,6,0,0,4,23,0,0,0,16,0,2,40,27,4,0,0,3,8,1,6,11,12,17,0,40,0,10,40,27,21,0,0,3,23,15,1,5,11,24,30,16,15,20,34,38,30,34,27,0,0,30,13,36,22,30,2,10,3,0,6
00:16:09,1,2,0,30,39,35,29,13,16,16,26,8,21,20,19,1,29,28,6,1,7,0,0,30,30,0,0,15,30,2,8,28,0,3,7,20,19,3,0,5,9,6,0,0,4,23,0,0,0,16,0,2,40,27,4,0,0,3,8,1,6,11,12,17,0,40,0,10,40,27,21,0,0,3,23,15,1,5,11,24,30,16,15,20,34,38,30,34,27,0,0,30,13,36,22,30,2,10,3,0,6
00:18:09,1,2,0,30,39,35,29,13,16,16,26,8,21,20,19,1,29,28,6,1,7,0,0,30,30,0,0,15,30,2,8,28,0,3,7,20,19,3,0,5,9,6,0,0,4,23,0,0,0,16,0,2,40,27,4,0,0,3,8,1,6,11,12,17,0,40,0,10,40,27,22,0,0,3,23,15,1,5,11,24,30,16,15,20,34,38,30,34,27,0,0,30,13,36,22,30,2,10,3,0,6
00:20:08,1,2,0,30,39,35,29,13,16,16,26,8,21,20,19,1,29,28,6,1,7,0,0,30,30,0,0,15,30,2,8,28,0,3,7,20,19,3,0,5,9,6,0,0,4,23,0,0,0,16,0,2,40,27,4,0,0,3,8,1,6,11,12,17,0,40,0,10,40,27,22,0,0,3,23,15,1,5,11,24,30,16,15,20,34,38,30,34,27,0,0,30,13,36,22,30,2,10,3,0,6
