,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,JAMES_STREET_EAST,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,CHATHAM_STREET,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE
00:20:08,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,12,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,20,9,13,0,3,16,6,0,39,30,11,0,1,9,5,0,6,12,19,19,6,40,10,5,36,25,32,7,2,3,7,3,7,2,16,17,22,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
00:22:09,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
00:24:09,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
00:26:09,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
00:28:08,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
00:30:09,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
00:32:09,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
00:34:09,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
00:36:09,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
00:38:09,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
00:40:09,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
00:42:08,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
00:44:09,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
00:46:09,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
00:48:09,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
00:50:09,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
00:52:09,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
00:54:08,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
00:56:09,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
00:58:09,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
01:00:17,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
01:02:09,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
01:04:09,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
01:06:09,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
01:08:09,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
01:10:08,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
01:12:09,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
01:14:09,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
01:16:09,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
01:18:09,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
01:20:09,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
01:22:09,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
01:24:09,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
01:26:09,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
01:28:08,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
01:30:09,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
01:32:09,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
01:34:09,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
01:36:08,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
01:38:09,2,0,7,30,30,35,30,7,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
01:40:09,2,0,7,30,30,35,30,6,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
01:42:08,2,0,7,30,30,35,30,6,14,31,20,20,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
01:44:09,2,0,7,30,30,35,30,6,14,31,20,21,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
01:46:09,2,0,7,30,30,35,30,6,14,31,20,21,25,19,16,13,30,27,4,1,13,4,0,29,30,0,0,1,25,1,3,23,0,3,4,20,7,0,6,1,6,1,0,3,21,9,13,0,2,16,6,0,39,30,11,0,1,9,5,0,6,12,21,19,6,40,10,5,36,25,32,7,2,3,7,3,8,2,16,17,26,25,26,18,28,38,26,40,23,5,0,26,5,40,22,7,30,3,9,5,2
