,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE,CLARENDON_ROW
00:00:09,1,1,1,28,33,29,30,15,13,16,38,26,22,24,27,5,30,21,4,3,24,13,0,30,30,3,2,1,16,1,6,17,1,12,20,20,1,4,6,0,1,0,9,4,16,21,7,1,7,4,0,39,30,3,4,18,1,18,0,0,9,0,10,0,35,2,31,29,31,40,2,6,2,23,21,0,1,20,29,20,11,25,19,40,29,30,35,18,4,0,26,10,40,22,18,5,14,0,1,0
00:02:09,1,1,1,28,33,29,30,15,13,16,38,26,22,24,27,5,30,21,4,3,24,13,0,30,30,3,2,1,16,1,6,17,1,12,20,20,1,4,6,0,1,0,9,4,16,21,7,1,7,4,0,39,30,3,4,18,1,18,0,0,9,0,10,0,35,2,31,29,31,40,2,6,2,23,21,0,1,20,29,20,11,25,19,40,29,30,35,18,4,0,26,10,40,22,18,5,14,0,1,0
00:04:09,1,1,1,28,33,29,30,15,13,16,38,26,22,24,27,5,30,21,4,3,24,13,0,30,30,3,2,1,16,1,6,17,1,12,20,20,1,4,6,0,1,0,9,4,16,21,7,1,7,4,0,39,30,3,4,18,1,18,0,0,9,0,10,0,35,2,31,29,31,40,2,6,2,23,21,0,1,20,29,20,11,25,19,40,29,30,35,18,4,0,26,10,40,22,18,5,14,0,1,0
00:06:08,1,1,1,28,33,29,30,15,13,16,38,26,22,24,27,5,30,21,4,3,24,13,0,30,30,3,2,1,16,1,6,17,1,12,20,20,1,4,6,0,1,0,9,4,16,21,7,1,7,4,0,39,30,3,4,18,1,18,0,0,9,0,10,0,35,2,31,29,31,40,2,6,2,23,21,0,1,20,29,20,11,25,19,40,29,30,35,18,4,0,26,10,40,22,18,5,14,0,1,0
00:08:09,1,1,1,28,33,29,30,15,13,16,38,26,22,24,27,5,30,21,4,3,24,13,0,30,30,3,2,1,16,1,6,17,1,12,20,20,1,4,6,0,1,0,9,4,16,21,7,1,7,4,0,39,30,3,4,18,1,18,0,0,9,0,10,0,35,2,31,29,31,40,2,6,2,23,21,0,1,20,29,20,11,25,19,40,29,30,35,18,4,0,26,10,40,22,18,5,14,0,1,0
00:10:09,1,1,1,28,33,29,30,15,13,16,38,26,22,24,27,5,30,21,4,3,24,13,0,30,30,3,2,1,16,1,6,17,1,12,20,20,1,4,6,0,1,0,9,4,16,21,7,1,7,4,0,39,30,3,4,18,1,18,0,0,9,0,10,0,35,2,31,29,31,40,2,6,2,23,21,0,1,20,29,20,11,25,19,40,29,30,35,18,4,0,26,10,40,22,18,5,14,0,1,0
00:12:08,1,1,1,28,33,29,30,15,13,16,38,26,22,24,27,5,30,21,4,3,24,13,0,30,30,3,2,1,16,1,6,17,1,12,20,20,1,4,6,0,1,0,9,4,16,21,7,1,7,4,0,39,30,3,4,18,1,18,0,0,9,0,10,0,35,2,31,29,31,40,2,6,2,23,21,0,1,20,29,20,11,25,19,40,29,30,35,18,4,0,26,10,40,22,18,5,14,0,1,0
00:14:09,1,1,1,28,33,29,30,15,13,16,38,26,22,24,27,5,30,21,4,3,24,13,0,30,30,3,2,1,16,1,6,17,1,12,20,20,1,4,6,0,1,0,9,4,16,21,7,1,7,4,0,39,30,3,4,18,1,18,0,0,9,0,10,0,35,2,31,29,31,40,2,6,2,23,21,0,1,20,29,20,11,25,19,40,29,30,35,18,4,0,26,10,40,22,18,5,14,0,1,0
00:16:09,1,1,1,28,33,29,30,15,13,16,38,26,22,24,27,5,30,21,4,3,24,13,0,30,30,3,2,1,16,1,6,17,1,12,20,20,1,4,6,0,1,0,9,4,16,21,7,1,7,4,0,39,30,3,4,18,1,18,0,0,9,0,10,0,35,2,31,29,31,40,2,6,2,23,21,0,1,20,29,20,11,25,19,40,29,30,35,18,4,0,26,10,40,22,18,5,14,0,1,0
00:18:09,1,1,1,28,33,29,30,15,13,16,38,26,22,24,27,5,30,21,4,3,24,13,0,30,30,3,2,1,16,1,6,17,1,12,20,20,1,4,6,0,1,0,9,4,16,21,7,1,7,4,0,39,30,3,4,18,1,18,0,0,9,0,10,0,35,2,31,29,31,40,2,6,2,23,21,0,1,20,29,20,11,25,19,40,29,30,35,18,4,0,26,10,40,22,18,5,14,0,1,0
